iter	RMSE
0	0.3808916698
1	0.3682758385
2	0.3576358292
3	0.3467095104
4	0.3359111321
5	0.3260942772
6	0.3160274539
7	0.3061314037
8	0.2973542238
9	0.2896663535
10	0.2818182057
11	0.2736564786
12	0.2656623704
13	0.2581322856
14	0.2511529381
15	0.2447670344
16	0.2379798233
17	0.2322668483
18	0.2270424256
19	0.2216854574
20	0.2171822166
21	0.2126389494
22	0.207717048
23	0.2032531097
24	0.20000227
25	0.1961435519
26	0.1923886516
27	0.1888184047
28	0.1857737816
29	0.1826388068
30	0.1794172068
31	0.1768401193
32	0.1737904427
33	0.171040017
34	0.1683366328
35	0.1659737553
36	0.163594962
37	0.1613947266
38	0.1592872641
39	0.1571475693
40	0.1550675378
41	0.1531889508
42	0.151217593
43	0.1492961426
44	0.1474053329
45	0.1458572893
46	0.1440318336
47	0.1423613751
48	0.141016024
49	0.1397223678
50	0.1381808713
51	0.1366853721
52	0.1354538164
53	0.1344186976
54	0.133103543
55	0.1320368773
56	0.1309039007
57	0.1297768726
58	0.1288595949
59	0.1278096893
60	0.1267091898
61	0.1257162935
62	0.1246794008
63	0.1237300062
64	0.1228339599
65	0.1219917654
66	0.1213128135
67	0.1205708636
68	0.1197313124
69	0.119047098
70	0.1182960235
71	0.1176500207
72	0.1169183125
73	0.1165583036
74	0.1157503278
75	0.115174649
76	0.1146218419
77	0.1141238401
78	0.113581408
79	0.1130271786
80	0.1125371611
81	0.1120849682
82	0.1116057437
83	0.111088443
84	0.1104967267
85	0.1100580961
86	0.109621664
87	0.1093022718
88	0.1087422836
89	0.1080451051
90	0.107540068
91	0.1070834776
92	0.1069879973
93	0.1066339716
94	0.1062476589
95	0.1058034869
96	0.105374105
97	0.1050113394
98	0.104687467
99	0.104372025
100	0.1039241176
101	0.1035295236
102	0.1030902876
103	0.1027668939
104	0.1025742798
105	0.1023804738
106	0.1019577386
107	0.1015873958
108	0.1013190893
109	0.1010468228
110	0.100841487
111	0.1005024257
112	0.1001806777
113	0.0998567045
114	0.09960122351
115	0.09935967055
116	0.09900663824
117	0.09879360804
118	0.0984211923
119	0.09812711976
120	0.09788563879
121	0.09756147045
122	0.09739775939
123	0.09701597352
124	0.0968438967
125	0.0965810152
126	0.09638343111
127	0.09606665706
128	0.09575702787
129	0.09553279786
130	0.09527196706
131	0.09490446494
132	0.09466388841
133	0.09428467835
134	0.09402755287
135	0.09371519855
136	0.09337397711
137	0.093210244
138	0.09289104593
139	0.0926907453
140	0.09252541127
141	0.0923755034
142	0.09214703129
143	0.09186224472
144	0.09158603908
145	0.09135296536
146	0.09114013989
147	0.09089241386
148	0.09069404309
149	0.09047610921
150	0.09028197621
151	0.09001827067
152	0.08980620429
153	0.08971713025
154	0.08952387077
155	0.08937986657
156	0.08908167452
157	0.08898869135
158	0.08882670607
159	0.08863458199
160	0.08838563691
161	0.08810818556
162	0.08795850614
163	0.08782269469
164	0.08770183996
165	0.08750176645
166	0.08733507888
167	0.08714801233
168	0.08697741674
169	0.08675916695
170	0.08656788072
171	0.0864085185
172	0.08632873136
173	0.08621014423
174	0.08597896892
175	0.08584423323
176	0.08568997477
177	0.08548571562
178	0.08523735785
179	0.08504452305
180	0.08483732516
181	0.08469272873
182	0.08440434329
183	0.08427472671
184	0.08413516695
185	0.08392561047
186	0.08365037562
187	0.08351805961
188	0.08332036182
189	0.08315855836
190	0.08308227602
191	0.08275864892
192	0.08263290204
193	0.08245774909
194	0.08231284299
195	0.08226297804
196	0.08203656757
197	0.08188028966
198	0.08170936839
199	0.08149722449
200	0.08138646492
201	0.08132744713
202	0.08112162711
203	0.08082988196
204	0.08073201447
205	0.08069123616
206	0.08047900135
207	0.08026460676
208	0.08006652173
209	0.07984459095
210	0.07966858162
211	0.0794267997
212	0.0792377714
213	0.07899031737
214	0.07871135418
215	0.07864381002
216	0.07850224433
217	0.07844063786
218	0.07838083102
219	0.07823166368
220	0.07797527514
221	0.07780157758
222	0.07766474719
223	0.07761019415
224	0.07750075912
225	0.07734941846
226	0.07713969681
227	0.07691056525
228	0.07672252247
229	0.07650209072
230	0.07642635842
231	0.07626778228
232	0.07610591512
233	0.07605459507
234	0.07599247474
235	0.07578615665
236	0.0755245556
237	0.07537977524
238	0.07526791524
239	0.07512226721
240	0.07491373363
241	0.07471690336
242	0.07459587998
243	0.07446008642
244	0.07430557412
245	0.07423241745
246	0.07417528489
247	0.07394056318
248	0.07389448632
249	0.07371733802
250	0.07352568613
251	0.07333232846
252	0.07316281769
253	0.07312146412
254	0.07295541275
255	0.07273222695
256	0.07264127641
257	0.0725780462
258	0.07248554439
259	0.07244418102
260	0.0722819906
261	0.07210284383
262	0.07195599707
263	0.07191858149
264	0.07186986582
265	0.07181693229
266	0.07178205863
267	0.07172490737
268	0.07156187697
269	0.07141178826
270	0.07138141796
271	0.07119903536
272	0.07102268335
273	0.07096468773
274	0.0708888054
275	0.07072100479
276	0.07050343762
277	0.07027016434
278	0.07015287608
279	0.07012163467
280	0.06991285314
281	0.06975079688
282	0.06951932429
283	0.06938423154
284	0.06914849067
285	0.06897740532
286	0.06881849587
287	0.06867382861
288	0.06862785948
289	0.0685163573
290	0.06835011882
291	0.06821695966
292	0.06804966987
293	0.06786139021
294	0.06774643857
295	0.06758879043
296	0.06742195468
297	0.06722781588
298	0.06719239607
299	0.06701761909
300	0.06685146146
301	0.06668078197
302	0.0664688032
303	0.06644447352
304	0.0662948644
305	0.06616417908
306	0.06589774616
307	0.06572193336
308	0.06561583297
309	0.065466395
310	0.06544444323
311	0.06529775353
312	0.06516732688
313	0.06501149634
314	0.06486757517
315	0.06480688132
316	0.06467377563
317	0.06461175932
318	0.06449964053
319	0.06429039941
320	0.06425905618
321	0.06418517978
322	0.0641541232
323	0.0640263065
324	0.06388625199
325	0.06375672564
326	0.06363172711
327	0.063464207
328	0.0633473264
329	0.06330810694
330	0.06322178375
331	0.06319379484
332	0.06307104423
333	0.06296961531
334	0.06283444359
335	0.06269669897
336	0.06257404167
337	0.06248694221
338	0.06235254868
339	0.06219856358
340	0.06206958892
341	0.0619497081
342	0.06182028767
343	0.06171156379
344	0.0615579486
345	0.06143932279
346	0.06125522403
347	0.06120337078
348	0.06106678326
349	0.06092665888
350	0.060781889
351	0.06076170277
352	0.06065787056
353	0.06060786017
354	0.06058678921
355	0.06056604712
356	0.06052075758
357	0.06040365478
358	0.06023018513
359	0.06008501097
360	0.05997368715
361	0.05979309817
362	0.05975477501
363	0.0595848668
364	0.05956589189
365	0.05950266607
366	0.0594829045
367	0.05936591015
368	0.05932385901
369	0.05922716276
370	0.05920999761
371	0.05919263227
372	0.05907615908
373	0.0590539104
374	0.05903840465
375	0.05890803938
376	0.0588083459
377	0.05872401111
378	0.05855363687
379	0.05842673578
380	0.05831711302
381	0.05826914193
382	0.05818110558
383	0.05805987368
384	0.0579628365
385	0.05787786826
386	0.05785778311
387	0.05770695845
388	0.05755031666
389	0.05746846546
390	0.05731535925
391	0.05711594042
392	0.05709927839
393	0.0569884189
394	0.05688441792
395	0.05686973214
396	0.05673827453
397	0.05661499596
398	0.05647228356
399	0.05627009098
400	0.0561686937
401	0.05605892878
402	0.05592967239
403	0.05585987133
404	0.05574585238
405	0.05559673809
406	0.05547045252
407	0.05533938274
408	0.05530140028
409	0.05528772875
410	0.05519554572
411	0.05510141332
412	0.054921128
413	0.05482631738
414	0.05480488386
415	0.0547134854
416	0.05458157585
417	0.05449670819
418	0.05442365705
419	0.05423075231
420	0.05408175955
421	0.05392489575
422	0.05390505236
423	0.05384049437
424	0.05373278974
425	0.0536255456
426	0.05351917324
427	0.0535045602
428	0.05342898171
429	0.05341580688
430	0.05332388723
431	0.05325851017
432	0.05322605353
433	0.0531502732
434	0.05313239208
435	0.05302594242
436	0.05293230679
437	0.05280815306
438	0.05278524675
439	0.05264194813
440	0.05252275775
441	0.05238592963
442	0.05237192769
443	0.05228304553
444	0.05222746797
445	0.05219891715
446	0.05206378029
447	0.05199468098
448	0.0519777098
449	0.05184167668
450	0.05176738685
451	0.05162868451
452	0.0514401119
453	0.05141071421
454	0.0513048281
455	0.05127276936
456	0.05121596491
457	0.05111584979
458	0.05105766832
459	0.05096183992
460	0.05094762607
461	0.05085288279
462	0.05084214021
463	0.05074921529
464	0.05057621973
465	0.05048099523
466	0.05046467273
467	0.0503742492
468	0.05027380298
469	0.05024367671
470	0.05023455674
471	0.05008518297
472	0.04997091303
473	0.0498776345
474	0.04986205309
475	0.0498314248
476	0.04974022589
477	0.04957564552
478	0.04942985117
479	0.04934868947
480	0.04927970519
481	0.04927181831
482	0.04926074358
483	0.0491098346
484	0.04900540684
485	0.04891026328
486	0.04883780847
487	0.04880841159
488	0.04879855298
489	0.04868473882
490	0.04865852714
491	0.04856226578
492	0.04845186167
493	0.04835028973
494	0.04831306739
495	0.04813551049
496	0.04812379956
497	0.0480584913
498	0.0479579301
499	0.04787914443
500	0.04777295863
501	0.0476576488
502	0.04758286964
503	0.04750584685
504	0.04743803658
505	0.04741187528
506	0.04734762201
507	0.04726601773
508	0.04712894621
509	0.04705938478
510	0.04702542823
511	0.04694984285
512	0.04693914396
513	0.04686744216
514	0.04677347699
515	0.04666101567
516	0.04658015913
517	0.04652879634
518	0.0465078963
519	0.04646052374
520	0.04638169671
521	0.04635568932
522	0.04634619992
523	0.04621276524
524	0.04615102369
525	0.04606318822
526	0.04601842511
527	0.0459695682
528	0.04583259124
529	0.04580225705
530	0.04573494742
531	0.04572758711
532	0.04563310022
533	0.04549810727
534	0.0454745868
535	0.04539199705
536	0.04531848993
537	0.04523221315
538	0.0451746698
539	0.04506657552
540	0.04505948441
541	0.04495992869
542	0.04493490992
543	0.04485956516
544	0.04485084535
545	0.04482792968
546	0.0447381791
547	0.04465389174
548	0.04460997255
549	0.04452253997
550	0.04441503918
551	0.0442988637
552	0.04416705132
553	0.04414685624
554	0.0440826537
555	0.04403922223
556	0.04401618857
557	0.04393468439
558	0.04384309892
559	0.04377156185
560	0.04363121366
561	0.04351353584
562	0.04345058067
563	0.04337712182
564	0.04327157367
565	0.04320238439
566	0.04315960195
567	0.04309137508
568	0.04308330169
569	0.04300811489
570	0.04294780241
571	0.04294162558
572	0.04282346398
573	0.04275193464
574	0.0426587575
575	0.04261570851
576	0.0425811038
577	0.04247544717
578	0.04237105936
579	0.04229530554
580	0.04220863661
581	0.04213633871
582	0.04203907713
583	0.04201424439
584	0.04195175944
585	0.04191057244
586	0.0418594147
587	0.04179104088
588	0.04175080032
589	0.04170704961
590	0.04166521991
591	0.04164092794
592	0.04155169501
593	0.04147897679
594	0.04137572069
595	0.04130463225
596	0.04118227863
597	0.04111193131
598	0.04103238636
599	0.04095508962
600	0.04081551445
601	0.04074909515
602	0.04065200564
603	0.04053125171
604	0.04048149147
605	0.04043045434
606	0.04038955982
607	0.0402978201
608	0.04024076371
609	0.04014566063
610	0.04009390873
611	0.04000593242
612	0.03995441249
613	0.03990320063
614	0.03983384813
615	0.0397804631
616	0.0397224408
617	0.03963776119
618	0.0395730064
619	0.03948228386
620	0.03941701262
621	0.03932327396
622	0.03927607836
623	0.03918963254
624	0.03911834586
625	0.03904562501
626	0.03894833313
627	0.03894152706
628	0.03893182091
629	0.03883801469
630	0.03878247794
631	0.03871593899
632	0.03859785886
633	0.03853138493
634	0.03851212186
635	0.03844120172
636	0.03838894217
637	0.03833971802
638	0.0382879356
639	0.03825073808
640	0.03821120901
641	0.03812532207
642	0.03805123696
643	0.03804517498
644	0.0379520213
645	0.03787756971
646	0.03781209453
647	0.03776427519
648	0.03768308619
649	0.03767707268
650	0.03756059409
651	0.0375559105
652	0.03743842235
653	0.03738038683
654	0.03732073554
655	0.03726779287
656	0.03718759719
657	0.03712999146
658	0.03712097935
659	0.03706389448
660	0.03704816544
661	0.03699717242
662	0.036940394
663	0.03686243412
664	0.03677501364
665	0.03676869035
666	0.036725277
667	0.03666868621
668	0.03660550546
669	0.03655990279
670	0.03650192193
671	0.0364065988
672	0.03633265524
673	0.03630424698
674	0.03625525339
675	0.0361886695
676	0.03612812129
677	0.0360625318
678	0.03599817454
679	0.03594621328
680	0.03587862646
681	0.03583237072
682	0.03582662312
683	0.03576388114
684	0.03567956255
685	0.03557313737
686	0.0355179702
687	0.03544860453
688	0.03544149851
689	0.03537828227
690	0.03530376813
691	0.03523180481
692	0.03516484174
693	0.03509055069
694	0.03504380768
695	0.03500712997
696	0.03493917152
697	0.0348939521
698	0.0348560226
699	0.0347971521
700	0.03473538969
701	0.03469126683
702	0.0346726635
703	0.03462525806
704	0.03459498163
705	0.03451345886
706	0.0344720756
707	0.03443005222
708	0.03438435412
709	0.0343336252
710	0.03427511874
711	0.03421603101
712	0.03417277314
713	0.03410106492
714	0.03404615717
715	0.03402775897
716	0.03395612457
717	0.03391220577
718	0.03383751817
719	0.03380067136
720	0.03377063592
721	0.03372949081
722	0.03363206577
723	0.03362631254
724	0.03358176122
725	0.03351108041
726	0.03343895559
727	0.03337160985
728	0.03331997314
729	0.03325515686
730	0.03320124352
731	0.03316537911
732	0.03311492613
733	0.03305579932
734	0.03300783826
735	0.0329202297
736	0.03291458734
737	0.03286352186
738	0.03278950551
739	0.03272854765
740	0.03270341348
741	0.03265004606
742	0.03258736814
743	0.03250882954
744	0.03247242735
745	0.03243947183
746	0.03239820606
747	0.03239392669
748	0.0323170436
749	0.03226067786
750	0.0322566392
751	0.0322240036
752	0.03213014499
753	0.032032478
754	0.03199113844
755	0.0319108793
756	0.03190703507
757	0.03182171837
758	0.03177869766
759	0.03171328684
760	0.03166015914
761	0.03160426104
762	0.03155522611
763	0.03150913944
764	0.03145575907
765	0.03141142381
766	0.03139040269
767	0.03134714988
768	0.03130191629
769	0.03123658683
770	0.03117483697
771	0.03110213458
772	0.03105260862
773	0.03101303465
774	0.03093291592
775	0.03091765484
776	0.03086304577
777	0.03081799691
778	0.03077704886
779	0.03075606554
780	0.0307527186
781	0.03071711942
782	0.03070566297
783	0.03068037146
784	0.0306171868
785	0.0305709842
786	0.03051177575
787	0.03049420848
788	0.03044215834
789	0.03043741628
790	0.03038584794
791	0.03034990481
792	0.03028468075
793	0.03024674178
794	0.03020093035
795	0.03019829211
796	0.03016099489
797	0.03013450523
798	0.03009786376
799	0.03005890505
800	0.03005582952
801	0.02999472367
802	0.02996004226
803	0.02985534788
804	0.02985211433
805	0.02982167305
806	0.02976047058
807	0.02970392524
808	0.02966646209
809	0.02960157479
810	0.0294941203
811	0.02945342356
812	0.02938730365
813	0.02934610048
814	0.02926175786
815	0.02920195337
816	0.02916166238
817	0.02907808416
818	0.02900496554
819	0.02898366976
820	0.02896020769
821	0.0289216682
822	0.028884219
823	0.02887873263
824	0.02883381464
825	0.02883008272
826	0.02879738517
827	0.02874704219
828	0.02870011346
829	0.02866929243
830	0.02860411563
831	0.02856667033
